QuestionID,Response_1,Response_2,Response_3,Response_4,Response_5,ToF,NoF
1,1,0,0,0,0,1,1
2,0,0,0,0,0,0,0
3,1,0,1,1,1,1,2
4,0,0,0,0,0,0,0
5,1,0,0,0,0,1,1
6,0,0,0,0,0,0,0
7,1,0,0,0,0,1,1
8,1,0,1,1,1,1,2
9,1,1,1,1,1,5,0
10,1,0,0,1,0,1,3
11,1,0,0,1,1,1,2
12,0,0,0,0,0,0,0
13,1,0,0,0,0,1,1
14,0,0,0,0,0,0,0
15,1,0,1,1,0,1,3
16,1,0,0,0,0,1,1
17,1,0,0,1,1,1,2
18,1,0,0,0,0,1,1
19,1,0,0,0,0,1,1
20,1,0,0,1,1,1,2
21,0,0,0,0,1,0,1
22,1,0,1,0,0,1,3
23,1,0,1,0,0,1,3
24,1,0,1,0,0,1,3
25,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0
27,1,0,0,0,0,1,1
28,1,0,1,1,1,1,2
29,1,0,0,0,0,1,1
30,0,0,0,0,0,0,0
31,1,0,0,0,0,1,1
32,0,0,0,0,0,0,0
33,1,0,0,0,0,1,1
34,1,0,0,0,0,1,1
35,0,0,0,0,0,0,0
36,1,0,0,1,0,1,3
37,1,1,0,0,0,2,1
38,0,0,0,1,1,0,1
39,0,0,0,0,0,0,0
40,1,0,0,0,0,1,1
41,1,0,1,1,1,1,2
42,0,0,0,0,0,0,0
43,1,1,1,1,1,5,0
44,1,1,1,1,1,5,0
45,0,0,0,0,0,0,0
46,0,0,0,0,0,0,0
47,1,1,1,1,1,5,0
48,1,0,0,0,0,1,1
49,0,1,1,1,1,0,1
50,1,1,0,1,1,2,2
51,1,0,0,0,0,1,1
52,0,1,1,1,1,0,1
53,1,0,0,0,0,1,1
54,0,0,0,0,0,0,0
55,1,1,1,1,1,5,0
56,1,0,0,0,0,1,1
57,1,0,0,0,0,1,1
58,0,0,0,0,0,0,0
59,0,0,0,0,0,0,0
60,1,0,0,0,0,1,1
61,1,0,0,0,0,1,1
62,0,0,0,0,1,0,1
63,1,1,0,0,0,2,1
64,0,0,0,0,0,0,0
65,1,0,0,0,0,1,1
66,1,1,1,1,1,5,0
67,1,0,0,0,0,1,1
68,0,0,0,0,0,0,0
69,1,0,0,1,1,1,2
70,0,0,0,0,0,0,0
71,0,0,0,0,0,0,0
72,1,0,0,0,0,1,1
73,1,0,0,0,0,1,1
74,1,0,0,0,0,1,1
75,1,0,0,0,0,1,1
76,0,1,1,1,1,0,1
77,1,0,0,0,0,1,1
78,1,0,1,0,1,1,4
79,1,0,0,0,0,1,1
80,0,0,0,0,0,0,0
81,0,0,0,0,0,0,0
82,0,0,0,0,0,0,0
83,0,0,0,0,0,0,0
84,0,0,0,0,0,0,0
85,0,0,0,0,0,0,0
86,0,0,0,0,0,0,0
87,0,0,0,0,0,0,0
88,1,0,0,0,0,1,1
89,1,0,0,0,0,1,1
90,0,0,0,0,0,0,0
91,0,0,0,0,0,0,0
92,1,0,0,0,0,1,1
93,1,0,0,0,0,1,1
94,1,0,0,0,0,1,1
95,1,0,0,0,1,1,2
96,1,0,0,0,0,1,1
97,1,0,0,1,0,1,3
98,1,0,0,0,0,1,1
99,1,0,1,0,0,1,3
100,1,1,1,1,1,5,0
