QuestionID,Response_1,Response_2,Response_3,Response_4,Response_5,ToF,NoF
1,1,0,0,0,0,1,1
2,1,0,0,1,1,1,2
3,1,0,0,1,1,1,2
4,1,0,0,0,0,1,1
5,1,0,1,0,0,1,3
6,0,0,0,0,0,0,0
7,1,0,0,1,0,1,3
8,1,0,0,1,0,1,3
9,1,0,1,1,1,1,2
10,1,0,0,0,0,1,1
11,1,0,1,1,1,1,2
12,0,0,0,0,0,0,0
13,1,0,0,0,0,1,1
14,1,0,0,1,1,1,2
15,1,0,0,0,0,1,1
16,0,0,0,0,0,0,0
17,1,1,1,1,1,5,0
18,1,0,1,1,1,1,2
19,1,0,0,0,0,1,1
20,1,1,1,0,0,3,1
21,1,0,1,0,0,1,3
22,1,0,0,1,1,1,2
23,1,0,0,0,0,1,1
24,1,0,0,0,0,1,1
25,1,0,0,0,0,1,1
26,1,0,0,0,0,1,1
27,1,0,1,1,1,1,2
28,1,0,0,1,0,1,3
29,1,0,1,0,1,1,4
30,1,0,1,1,1,1,2
31,1,0,0,0,0,1,1
32,1,0,0,0,0,1,1
33,0,0,0,0,0,0,0
34,0,0,0,0,0,0,0
35,0,0,0,0,0,0,0
36,1,0,1,1,1,1,2
37,1,0,0,0,0,1,1
38,1,1,1,1,1,5,0
39,0,0,0,0,0,0,0
40,1,0,0,0,0,1,1
41,1,0,1,0,1,1,4
42,1,0,0,0,1,1,2
43,1,1,1,1,0,4,1
44,1,1,1,1,1,5,0
45,1,0,0,0,0,1,1
46,1,0,0,0,0,1,1
47,1,0,0,0,0,1,1
48,1,0,0,0,0,1,1
49,1,0,0,0,0,1,1
50,1,1,1,1,1,5,0
51,1,0,0,0,0,1,1
52,1,0,1,1,0,1,3
53,1,0,0,0,0,1,1
54,1,0,0,0,0,1,1
55,1,1,1,1,1,5,0
56,1,0,0,0,0,1,1
57,1,0,0,0,0,1,1
58,1,0,0,0,0,1,1
59,1,0,0,0,0,1,1
60,1,0,0,0,0,1,1
61,1,0,0,0,0,1,1
62,0,0,0,0,0,0,0
63,1,0,0,0,1,1,2
64,0,0,0,0,0,0,0
65,1,0,0,0,0,1,1
66,1,0,1,1,1,1,2
67,1,0,0,0,1,1,2
68,1,0,0,0,0,1,1
69,1,0,1,1,1,1,2
70,1,0,0,0,0,1,1
71,1,0,0,0,0,1,1
72,1,0,0,0,0,1,1
73,1,0,0,0,0,1,1
74,1,0,0,0,0,1,1
75,1,0,0,0,0,1,1
76,1,0,0,0,0,1,1
77,1,0,0,0,0,1,1
78,1,0,0,0,0,1,1
79,1,0,1,1,1,1,2
80,1,0,0,0,1,1,2
81,1,0,0,0,0,1,1
82,0,0,0,0,0,0,0
83,1,0,0,1,1,1,2
84,1,0,0,0,0,1,1
85,1,0,1,1,1,1,2
86,1,0,0,0,0,1,1
87,1,0,0,0,0,1,1
88,1,1,1,1,1,5,0
89,1,0,0,1,1,1,2
90,1,0,0,0,0,1,1
91,1,0,0,1,1,1,2
92,1,0,0,0,0,1,1
93,1,0,0,0,0,1,1
94,1,0,0,0,0,1,1
95,1,0,1,1,1,1,2
96,1,0,0,1,1,1,2
97,1,0,0,0,0,1,1
98,1,0,0,0,0,1,1
99,1,0,1,1,0,1,3
100,1,1,1,1,1,5,0
