Row,Response_1,Response_2,Response_3,Response_4,Response_5
1,1,1,1,1,1
2,1,1,1,1,1
3,1,1,1,1,1
4,1,1,1,0,0
5,1,1,1,1,1
6,1,0,0,0,0
7,0,0,0,0,0
8,1,1,1,1,1
9,1,1,1,0,0
10,0,0,0,0,0
11,1,1,1,1,1
12,1,1,1,1,1
13,0,0,0,0,0
14,1,1,1,1,1
15,1,1,1,1,1
16,1,1,1,1,1
17,1,0,0,0,0
18,1,1,1,1,1
19,1,1,1,1,1
20,1,1,1,1,1
21,1,1,1,1,1
22,1,0,0,0,0
23,1,1,1,0,0
24,0,0,0,0,0
25,1,1,1,1,1
26,1,1,1,1,1
27,1,1,1,1,1
28,1,1,1,1,1
29,1,1,1,1,1
30,1,1,1,1,1
31,1,1,1,1,1
32,1,1,1,1,1
33,1,1,1,1,1
34,1,1,1,1,1
35,1,1,1,1,1
36,1,1,1,1,1
37,1,1,1,1,1
38,1,0,0,0,0
39,1,1,1,1,1
40,0,0,0,0,0
41,1,1,1,1,0
42,1,0,0,0,0
43,1,1,1,1,1
44,1,1,1,1,1
45,1,1,1,1,1
46,1,1,1,1,1
47,1,1,1,1,0
48,1,1,1,0,0
49,1,1,1,1,1
50,1,1,1,1,1
51,0,0,0,0,0
52,1,1,1,1,1
53,1,1,1,1,1
54,1,1,1,1,1
55,1,1,1,1,1
56,1,1,1,1,1
57,1,1,1,1,1
58,1,1,1,1,1
59,1,1,1,0,0
60,0,0,0,0,0
61,1,1,1,1,1
62,1,1,1,0,0
63,0,0,0,0,0
64,1,1,1,1,1
65,1,1,1,1,1
66,1,0,0,0,0
67,1,1,1,1,1
68,1,1,0,0,0
69,0,0,0,0,0
70,1,1,1,1,1
71,1,1,1,1,1
72,0,0,0,0,0
73,0,0,0,0,0
74,1,1,1,1,1
75,1,1,1,1,1
76,1,1,1,1,1
77,1,1,1,1,1
78,1,1,1,1,1
79,1,1,1,1,1
80,1,1,1,1,1
81,1,1,1,1,1
82,1,1,1,1,1
83,1,1,1,1,1
84,1,1,1,1,1
85,1,1,1,1,1
86,1,1,1,1,1
87,0,0,0,0,0
88,1,1,1,1,1
89,1,1,1,1,1
90,1,1,1,1,1
91,1,0,0,0,0
92,1,1,1,1,1
93,0,0,0,0,0
94,1,1,1,0,0
95,1,1,1,1,1
96,1,1,1,1,1
97,1,1,1,1,1
98,1,1,1,1,1
99,1,1,1,1,1
100,1,1,1,1,0
101,1,1,1,1,1
102,0,0,0,0,0
103,1,1,0,0,0
104,0,0,0,0,0
105,0,0,0,0,0
106,1,1,1,1,1
107,1,1,1,1,1
108,1,1,1,1,1
109,0,0,0,0,0
110,0,0,0,0,0
111,0,0,0,0,0
112,1,1,1,1,1
113,1,1,1,1,1
114,1,1,1,1,1
115,1,1,1,1,1
116,1,1,1,1,1
117,1,1,0,0,0
118,1,1,1,0,0
119,1,1,0,0,0
120,1,1,1,1,1
121,1,1,1,1,1
122,1,1,1,1,1
123,1,1,1,1,1
124,1,1,1,1,1
125,1,0,0,0,0
126,1,1,1,1,1
127,1,1,1,1,1
128,1,1,1,1,1
129,1,1,1,1,1
130,1,1,1,1,0
131,1,1,1,1,1
132,1,1,1,1,1
133,0,0,0,0,0
134,1,0,0,0,0
135,1,1,1,1,1
136,1,1,1,1,1
137,1,0,0,0,0
138,1,1,1,1,1
139,1,1,1,1,1
140,1,1,1,1,1
141,1,1,1,1,1
142,1,1,1,1,1
143,1,1,1,1,1
144,1,1,1,1,1
145,0,0,0,0,0
146,1,1,1,1,1
147,1,1,1,1,1
148,1,1,1,0,0
149,1,0,0,0,0
150,1,1,0,0,0
151,1,1,1,1,1
152,1,1,1,1,1
153,0,0,0,0,0
154,1,0,0,0,0
155,1,1,1,1,1
156,1,1,1,1,1
157,1,1,0,0,0
158,0,0,0,0,0
159,0,0,0,0,0
160,1,1,1,1,1
161,1,1,1,1,1
162,0,0,0,0,0
163,1,1,1,1,1
164,1,1,1,1,1
165,1,1,0,0,0
166,1,1,1,0,0
167,1,1,0,0,0
168,1,1,1,1,1
169,1,1,1,0,0
170,1,0,0,0,0
171,1,1,1,1,1
172,1,1,1,0,0
173,1,1,1,1,1
174,1,1,0,0,0
175,1,1,1,1,1
176,1,1,1,1,1
177,1,1,1,1,1
178,1,1,1,1,1
179,1,1,1,1,1
180,1,1,0,0,0
181,1,0,0,0,0
182,1,1,1,1,1
183,1,0,0,0,0
184,1,1,1,1,1
185,0,0,0,0,0
186,1,1,1,1,1
187,0,0,0,0,0
188,1,1,1,1,1
189,0,0,0,0,0
190,1,1,1,1,1
191,1,1,1,1,1
192,1,1,1,1,0
193,1,1,0,0,0
194,1,1,1,1,1
195,1,1,0,0,0
196,1,1,1,1,1
197,1,1,1,1,1
198,1,1,1,0,0
199,1,1,1,1,1
200,1,1,1,0,0
