Row,Response_1,Response_2,Response_3,Response_4,Response_5
1,1,1,0,0,0
2,1,1,1,1,1
3,1,1,1,1,1
4,1,0,0,0,0
5,1,1,1,1,1
6,1,1,1,1,0
7,1,1,1,1,1
8,1,1,1,1,1
9,1,1,1,1,1
10,0,0,0,0,0
11,1,1,1,1,1
12,1,1,1,1,1
13,1,1,1,1,0
14,1,1,1,1,1
15,1,1,1,1,1
16,1,1,1,1,1
17,1,0,0,0,0
18,1,1,1,1,1
19,1,1,1,1,1
20,1,0,0,0,0
21,1,1,0,0,0
22,0,0,0,0,0
23,1,0,0,0,0
24,1,1,1,1,1
25,1,1,0,0,0
26,0,0,0,0,0
27,1,1,1,1,1
28,1,1,1,1,1
29,1,1,1,1,1
30,1,1,1,1,0
31,1,0,0,0,0
32,1,1,1,1,1
33,1,1,1,1,1
34,1,1,1,1,1
35,1,1,1,1,1
36,1,1,1,1,1
37,1,1,1,1,1
38,1,1,1,1,1
39,1,1,1,1,1
40,0,0,0,0,0
41,0,0,0,0,0
42,1,1,1,1,1
43,1,0,0,0,0
44,1,1,1,1,1
45,0,0,0,0,0
46,1,1,1,1,1
47,1,1,0,0,0
48,1,1,1,1,0
49,1,1,1,1,1
50,1,1,1,1,1
51,1,0,0,0,0
52,0,0,0,0,0
53,1,1,1,1,1
54,1,1,1,1,1
55,1,0,0,0,0
56,1,1,1,1,1
57,1,0,0,0,0
58,1,1,0,0,0
59,1,1,1,1,1
60,0,0,0,0,0
61,1,1,1,1,1
62,1,1,1,1,1
63,1,1,1,1,0
64,1,1,1,1,1
65,1,1,1,1,1
66,1,1,1,1,0
67,1,1,1,1,1
68,1,1,0,0,0
69,0,0,0,0,0
70,1,1,1,1,1
71,1,1,1,1,1
72,0,0,0,0,0
73,1,0,0,0,0
74,1,1,1,1,1
75,1,1,1,1,1
76,1,1,1,1,1
77,1,1,1,1,1
78,1,1,1,1,1
79,1,0,0,0,0
80,1,1,1,1,1
81,1,1,1,1,1
82,1,1,1,1,1
83,1,1,1,1,1
84,1,1,1,1,1
85,1,1,1,1,0
86,0,0,0,0,0
87,1,1,1,1,1
88,1,1,1,1,1
89,1,1,1,1,1
90,0,0,0,0,0
91,1,1,1,1,1
92,1,1,1,1,1
93,1,1,1,1,1
94,1,1,1,1,1
95,1,1,1,1,1
96,1,1,1,1,1
97,1,1,1,1,1
98,1,1,1,1,1
99,1,1,1,1,1
100,1,1,1,1,1
101,1,1,1,0,0
102,1,1,1,1,1
103,1,1,1,1,1
104,1,1,1,1,0
105,0,0,0,0,0
106,1,1,1,1,1
107,1,1,1,1,1
108,1,1,1,1,1
109,0,0,0,0,0
110,1,1,1,0,0
111,0,0,0,0,0
112,1,0,0,0,0
113,1,1,1,0,0
114,1,1,1,1,1
115,1,1,1,1,1
116,1,1,1,1,1
117,0,0,0,0,0
118,1,1,1,1,1
119,1,1,0,0,0
120,1,1,1,0,0
121,1,1,1,1,1
122,1,1,1,1,1
123,1,0,0,0,0
124,1,1,1,0,0
125,1,1,1,1,1
126,0,0,0,0,0
127,0,0,0,0,0
128,1,1,1,1,1
129,1,1,0,0,0
130,1,1,1,1,1
131,1,1,1,1,1
132,1,1,1,1,1
133,1,1,1,1,0
134,1,1,0,0,0
135,1,0,0,0,0
136,1,1,1,1,1
137,1,1,1,0,0
138,1,1,1,1,1
139,1,1,1,0,0
140,1,1,1,1,1
141,1,1,1,1,1
142,1,1,1,1,1
143,1,1,1,1,1
144,1,1,1,1,1
145,1,1,0,0,0
146,1,1,0,0,0
147,1,1,1,1,1
148,0,0,0,0,0
149,1,1,1,1,1
150,1,0,0,0,0
151,1,1,1,1,1
152,0,0,0,0,0
153,0,0,0,0,0
154,1,1,0,0,0
155,1,1,1,1,1
156,1,1,1,0,0
157,1,1,1,1,1
158,1,1,1,1,1
159,0,0,0,0,0
160,1,1,1,1,1
161,1,0,0,0,0
162,1,1,1,0,0
163,1,1,1,1,1
164,1,1,1,1,1
165,1,1,1,1,1
166,0,0,0,0,0
167,1,1,1,1,1
168,1,1,1,1,1
169,1,1,1,1,0
170,1,1,1,0,0
171,1,0,0,0,0
172,1,1,1,1,1
173,0,0,0,0,0
174,1,1,0,0,0
175,1,0,0,0,0
176,1,1,1,1,1
177,1,1,1,1,1
178,1,1,1,1,1
179,1,1,1,1,1
180,0,0,0,0,0
181,1,1,1,1,1
182,0,0,0,0,0
183,1,0,0,0,0
184,1,1,0,0,0
185,1,1,0,0,0
186,1,1,1,1,1
187,1,1,0,0,0
188,1,1,0,0,0
189,0,0,0,0,0
190,1,1,1,1,1
191,1,1,0,0,0
192,0,0,0,0,0
193,1,1,1,1,1
194,1,1,1,1,1
195,1,1,1,1,1
196,1,1,1,1,1
197,1,1,1,1,1
198,1,1,0,0,0
199,1,1,1,1,1
200,0,0,0,0,0
